City,District,Street,Price,Price_per_m,Area,Room number,Start date,Scraping date,Listing url,Floor,Floors number,Days difference
Poznań  ,Podolany,Szarych Szeregów,468 000,8 636,54,5,2024-09-27,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-podolany-szarych-szeregow/ob/37286145,0,0,83
Poznań  ,Jeżyce,Jana Henryka Dąbrowskiego,470 000,10 706,43,2,2024-08-29,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-jezyce-jana-henryka-dabrowskiego/ob/36740385,4,4,112
Poznań  ,Jeżyce,Os. Lotnictwa Polskiego,485 000,9 838,49,2,2024-08-06,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-lotnictwa-polskiego/ob/36343897,0,5,135
Poznań  ,Piątkowo,Osiedle Bolesława Chrobrego,539 000,11 000,49,2,2024-10-29,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-piatkowo-osiedle-boleslawa-chrobrego/ob/38605869,8,11,51
Poznań  ,Starołęka,Starołęka,540 002,11 448,47,2,2022-11-23,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-staroleka-minikowo-marlewo/ob/35136133,1,2,757
Poznań  ,Starołęka,Starołęka,596 818,11 040,54,3,2022-11-23,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-staroleka-minikowo-marlewo/ob/35136129,1,3,757
Poznań  ,Piątkowo,Piątkowo,600 000,9 569,62,3,2024-06-21,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-piatkowo-os-jana-iii-sobieskiego/ob/34973907,6,10,181
Poznań  ,Winiary,Piątkowska,630 000,12 651,49,2,2024-09-23,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-winiary-piatkowska/ob/37204997,6,8,87
Poznań  ,Grunwald,Świerzawska,639 999,19 453,32,1,2024-12-06,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-grunwald-swierzawska/ob/38568345,4,11,13
Poznań  ,Łazarz,Stanisława Wyspiańskiego,649 000,14 232,45,2,2024-10-01,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-lazarz-stanislawa-wyspianskiego/ob/37352697,1,5,79
Poznań  ,Grunwald,Ceglana,670 000,15 854,42,2,2024-07-04,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-grunwald-ceglana/ob/37813207,3,3,168
Poznań  ,Piątkowo,Osiedle Bolesława Śmiałego,679 000,9 226,73,4,2024-12-03,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-piatkowo-osiedle-boleslawa-smialego/ob/38514453,4,10,16
Poznań  ,Centrum,Centrum,690 000,8 561,80,4,2024-11-29,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-centrum/ob/38447153,2,3,20
Poznań  ,Winogrady,Os. Zwycięstwa,699 000,7 845,89,4,2024-10-05,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-winogrady-os-zwyciestwa/ob/37457223,15,16,75
Poznań  ,Centrum,Św. Marcina,737 000,12 534,58,2,2024-08-27,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-centrum-sw-marcina/ob/36694071,4,6,114
Poznań  ,Łazarz,Jana Matejki,785 292,12 400,63,4,2024-10-29,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-lazarz-jana-matejki/ob/37902327,0,2,51
Poznań  ,Górczyn,Krzywa,820 000,9 951,82,3,2024-07-03,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-gorczyn-krzywa/ob/35090245,0,4,169
Poznań  ,Grunwald,Głogowska,840 000,6 758,124,3,2024-12-02,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-grunwald-glogowska/ob/38497905,3,4,17
Poznań  ,Grunwald,Grunwald,882 000,14 499,60,3,2024-11-25,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-grunwald/ob/38361163,3,3,24
Poznań  ,Grunwald,Promienista,990 000,11 250,88,4,2024-10-08,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-grunwald-promienista/ob/38057637,0,2,72
Poznań  ,Stare Miasto,Wzgórze św. Wojciecha,995 000,12 627,78,3,2024-10-03,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-stare-miasto-wzgorze-swietego-wojciecha/ob/37747449,1,4,77
Poznań  ,Piątkowo,Teofila Mateckiego,1 490 000,12 627,118,6,2024-05-27,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-piatkowo-teofila-mateckiego/ob/34704281,3,3,206
Poznań  ,Grunwald,Juliusza Kossaka,1 495 000,14 104,106,4,2024-07-05,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-j-kossaka/ob/35186295,2,4,167
Poznań  ,Naramowice,Sielawy,439 250,12 677,34,2,2024-11-20,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-naramowice-sielawy/ob/38280433,4,4,29
Poznań  ,Winogrady,Osiedle Wichrowe Wzgórze,469 000,9 979,47,3,2024-10-03,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-winogrady-wichrowe-wzgorze/ob/37969507,2,4,77
